"threshold","eligible_profiles","eligible_station_nights","eligible_stations","profile_retention_pct"
0.31,4222389,380034,143,90.1512916153358
1.5,3493578,349313,143,74.5906095006693
6.6,2337495,283312,143,49.907337621993
25,1175067,180372,143,25.0885950547327
74,466681,87364,143,9.96400258771433
