"threshold","season","region","available_profiles","eligible_profiles","retention_pct"
0.29,"fall","east",1858454,1787993,96.2086228661027
0.29,"fall","west",999828,873383,87.3533247718608
0.29,"spring","east",1689588,1523621,90.1770727538311
0.29,"spring","west",902105,722441,80.0839148436158
1.3,"fall","east",1858454,1647758,88.6628348078564
1.3,"fall","west",999828,676959,67.70754569786
1.3,"spring","east",1689588,1254623,74.2561500200049
1.3,"spring","west",902105,523013,57.9769539022619
5.8,"fall","east",1858454,1261281,67.8672165143716
5.8,"fall","west",999828,404902,40.4971655124681
5.8,"spring","east",1689588,759494,44.9514319467231
5.8,"spring","west",902105,296847,32.9060364370001
21,"fall","east",1858454,720625,38.7755091059558
21,"fall","west",999828,172254,17.2283632784839
21,"spring","east",1689588,357154,21.138526078547
21,"spring","west",902105,128245,14.2161943454476
65,"fall","east",1858454,309979,16.6794012657833
65,"fall","west",999828,44874,4.48817196557808
65,"spring","east",1689588,146806,8.68886379401369
65,"spring","west",902105,39528,4.3817515699392
