"threshold","eligible_profiles","eligible_station_nights","eligible_stations","profile_retention_pct"
0.29,4907438,382629,143,90.0451469960871
1.3,4102353,358885,143,75.2728773985202
5.8,2722524,297683,143,49.9547979577888
21,1378278,198896,143,25.2896205945899
65,541187,97900,143,9.93008224808371
